Idioms,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Sentence 1,Sentence 2,Sentence 3,Sentence 4
paddle one’s own canoe,to do (something) by oneself, to be alone.,,,,I’ve been left to paddle my own canoe since I was a child. ,Sally didn’t stay with the group. She wanted to paddle her own canoe. ,,
pain in the neck,a bother, an annoyance.,,,,This assign- ment is a pain in the neck. ,Your little brother is a pain in the neck. ,,
pale around the gills,looking sick.,,,,,John is looking a little pale around the gills. What’s wrong? ,,,
paper over the cracks (in something),"to try to hide faults or difficulties, often in a hasty or not very successful way.",,,,,The politician tried to paper over the cracks in his party’s economic policy. ,"Tom tried to paper over the cracks in his relationship with the boss, but it was not possible. ",,
par for the course,typical, about what one could expect. (This refers to a golf course.),,,,"So he went off and left you? Well, that’s about par for the course. He’s no friend. ","I worked for days on this project, but it was rejected. That’s par for the course around here. ",,
parrot fashion,"without understanding the meaning of what one has learnt, is saying, etc.",,,,,The child learnt the poem by heart and repeated it parrotfashion. ,"Jean never thinks for herself. She just repeats what her father says, parrot-fashion. ",,
part and parcel of something,an essential part of something, something that is unavoidably included as part of something else.,,,,This point is part and parcel of my whole argument. ,Bill refused to accept pain and illness as part and parcel of growing older. ,,
parting of the ways,a point at which people separate and go their own ways.,,,,,Jane and Bob finally came to a parting of the ways and divorced. ,Bill and his parents reached a parting of the ways and he left home. ,,
party line,"the official ideas and attitudes which are adopted by the leaders of a particular group, usually political, and which the other members are expected to accept.",,,,,Tom has left the club. He refused to follow the party line. ,Many politicians agree with the party line without thinking. ,,
pass as someone or something,to succeed in being accepted as someone or something.,,,,,The spy was able to pass as a normal citizen. ,The thief was arrested when he tried to pass as a priest. ,,
pass muster,to measure up to the required standards.,,,,,"I tried my best, but my efforts didn’t pass muster. ","If you don’t wear a suit, you won’t pass muster at that expensive restaurant. They won’t let you in. ",,
pass the buck,to pass the blame (to someone else), to give the responsibility (to someone else).,,,,"Don’t try to pass the buck! It’s your fault, and everybody knows it. ",Some people try to pass the buck whenever they can. They won’t accept responsibility. ,,
pass the hat round,to attempt to collect money for some (charitable) project.,,,,,Bob is passing the hat round to collect money to buy flowers for Ann. ,He’s always passing the hat round for something. ,,
pass the time of day (with someone),to chat or talk informally with someone.,,,,,I saw Mr. Brown in town yesterday. I stopped and passed the time of day with him. ,"No, we didn’t have a serious talk; we just passed the time of day. ",,
past it,less good or efficient now than someone or something was before.,,,,,This cooker’s past its sellby date. We’ll have to get a new one.,,,
past someone’s or something’s best,less good or efficient now than someone or something was before.,,,,,"Joan was a wonderful singer, but she’s past her best now. ",This old car’s past it. I’ll need to get a new one. ,,
past someone’s or something’s sell-by date,less good or efficient now than someone or something was before.,,,,,Mary feels she’s past her sell-by date when she sees so many young women joining the company.,,,
pay an arm and a leg (for something),to pay too much money for something.,,,,,I hate to have to pay an arm and a leg for a tank of petrol. ,"If you shop around, you won’t have to pay an arm and a leg. ",,
cost an arm and a leg,to cost too much.,,,,,"It cost an arm and a leg, so I didn’t buy it. ",,,
pay lip service (to something),"to express loyalty, respect, or support for something insincerely",,,,,"You don’t really care about politics. You’re just paying lip service to the candidateThe students pay lip-service to the new rules, but they plan to ignore them in practice.",,,
pay one’s debt to society,"to serve a sentence for a crime, usually in prison.",,,,,The judge said that Mr. Simpson had to pay his debt to society. ,Mr. Brown paid his debt to society in prison. ,,
pay one’s dues,to pay the fees required to belong to an organization.,,,,,"If you haven’t paid your dues, you can’t come to the club picnic. ",How many people have paid their dues? ,,
pay someone a back handed compliment,to give someone an apparent compliment that is really an insult.,,,,,John said that he had never seen me looking better. I think he was paying me a back- handed compliment. ,"I’d prefer that someone insulted me directly. I hate it when someone pays me a back-handed compliment, unless it’s a joke. ",,
pay someone a compliment,to compliment someone.,,,,,Sally thanked me for paying her a compliment. ,"When Tom did his job well, I paid him a compliment. ",,
pay the earth,to pay a great deal of money for something.,,,,,Bob paid the earth for that ugly old sideboard. ,You have to pay the earth for property in that area. ,,
pay the piper,to provide the money for something and so have some control over how the money is spent. (From the expression “He who pays the piper calls the tune.”),,,,,The parents at a fee-paying school pay the piper and so should have a say in how the school is run. ,Hotel guests pay the piper and should be treated politely. ,,
pick and choose,to choose very carefully from a number of possibilities, to be selective.,,,,You must take what you are given. You can- not pick and choose. ,Meg is so beautiful. She can pick and choose from a whole range of suitors. ,,
pick a quarrel (with someone),to start an argument with someone,,,,,Are you trying to pick a quarrel with me?,"No, I’m not trying to pick a quarrel.",,
pick holes in something,to criticize something severely, to find all the flaws or fallacies in an argument.,,,,The solicitor picked holes in the witness’s story. ,They will pick holes in your argument. ,,
pick on someone,to criticize someone or something constantly, to abuse someone or something.,,,,Stop picking on me! ,Why are you always picking on the office junior? ,,
piece of cake,something very easy.,,,,,"No, it won’t be any trouble. It’s a piece of cake. ","Climbing this is easy! Look here, a piece of cake. ",,
